# TOCFL vocabulary list, levels 1-5
# Published on 2013-04-30
#
# Downloaded from: http://www.sc-top.org.tw/english/download.php
# Direct download link: http://www.sc-top.org.tw/download/8000zhuyin.rar
# Accessed on 2014-01-12
#
# Part of speech key (詞類標記表):
# Adv: Adverb, 副詞
# Conj: Conjunction, 連接詞
# Det: Determiner (依據平衡語料庫), 限定詞
# M: Measure, 量詞
# N: Noun, 名詞
# P: Particle, 助詞
# Post: Postposition (依據平衡語料庫), 後置詞
# Prep: Preposition, 介詞
# VA: Action verb, 動作動詞
# VS: State verb, 狀態動詞
#
# Column header:
# Word, Level, Part of speech, Category
桌,1,M/N,房屋與家庭、環境
桌子,1,N,房屋與家庭、環境
沙發,1,N,房屋與家庭、環境
床,1,M/N,房屋與家庭、環境
開,1,VS/VA,房屋與家庭、環境
關,1,VS/M/VA,房屋與家庭、環境
電視,1,N,房屋與家庭、環境
電視機,1,N,房屋與家庭、環境
冷氣,1,N,房屋與家庭、環境
冷氣機,1,N,房屋與家庭、環境
洗澡,1,VA,房屋與家庭、環境
安靜,1,VS,房屋與家庭、環境
不錯,1,VS,房屋與家庭、環境
河,1,N,房屋與家庭、環境
海,1,N,房屋與家庭、環境
海邊,1,N,房屋與家庭、環境
湖,1,N,房屋與家庭、環境
山,1,N,房屋與家庭、環境
樹,1,N,房屋與家庭、環境
花,1,VA/N,房屋與家庭、環境
花兒,1,N,房屋與家庭、環境
馬,1,N,房屋與家庭、環境
狗,1,N,房屋與家庭、環境
鳥,1,N,房屋與家庭、環境
貓,1,N,房屋與家庭、環境
雞,1,N,房屋與家庭、環境
魚,1,N,房屋與家庭、環境
魚兒,1,N,房屋與家庭、環境
太陽,1,N,房屋與家庭、環境
水,1,N,房屋與家庭、環境
天氣,1,N,房屋與家庭、環境
冷,1,VS,房屋與家庭、環境
熱,1,VS,房屋與家庭、環境
下雨,1,VA,房屋與家庭、環境
下雪,1,VA,房屋與家庭、環境
風,1,N,房屋與家庭、環境
穿,1,VA,日常生活
睡覺,1,VA,日常生活
起床,1,VA,日常生活
咖啡,1,N,日常生活
茶,1,N,日常生活
洗,1,VA,日常生活
方便,1,VS,日常生活
生活,1,VA/N,日常生活
用,1,Prep/VA,日常生活
新年,1,N,日常生活
開始,1,VS/N,閒暇時間、娛樂
運動,1,N/VA,閒暇時間、娛樂
游泳,1,VA,閒暇時間、娛樂
踢,1,VA,閒暇時間、娛樂
足球,1,N,閒暇時間、娛樂
打,1,Prep/M/VA,閒暇時間、娛樂
籃球,1,N,閒暇時間、娛樂
網球,1,N,閒暇時間、娛樂
棒球,1,N,閒暇時間、娛樂
比賽,1,N/VA,閒暇時間、娛樂
騎,1,VA,閒暇時間、娛樂
腳踏車,1,N,閒暇時間、娛樂
自行車,1,N,閒暇時間、娛樂
跑,1,VA,閒暇時間、娛樂
跑步,1,VA,閒暇時間、娛樂
走,1,VA,閒暇時間、娛樂
走路,1,VA,閒暇時間、娛樂
電影,1,N,閒暇時間、娛樂
電影院,1,N,閒暇時間、娛樂
票,1,M/N,閒暇時間、娛樂
音樂,1,N,閒暇時間、娛樂
表演,1,VA/N,閒暇時間、娛樂
看,1,/VA,閒暇時間、娛樂
上網,1,VA,閒暇時間、娛樂
以前,1,N,閒暇時間、娛樂
以後,1,N,閒暇時間、娛樂
等,1,Prep/N/VA,閒暇時間、娛樂
輸,1,VA,閒暇時間、娛樂
贏,1,VA,閒暇時間、娛樂
有時候,1,Adv,閒暇時間、娛樂
常常,1,Adv,閒暇時間、娛樂
久,1,VS,閒暇時間、娛樂
先,1,Adv,閒暇時間、娛樂
再,1,Adv,閒暇時間、娛樂
每,1,Adv/Det,閒暇時間、娛樂
次,1,M/Det,閒暇時間、娛樂
報紙,1,N,閒暇時間、娛樂
照片,1,N,閒暇時間、娛樂
書,1,N,閒暇時間、娛樂
唱歌,1,VA,閒暇時間、娛樂
唱歌兒,1,VA,閒暇時間、娛樂
玩,1,VA,閒暇時間、娛樂
玩兒,1,VA,閒暇時間、娛樂
朋友,1,N,與他人的關係
介紹,1,VA,與他人的關係
認識,1,VS,與他人的關係
謝謝,1,VS,與他人的關係
不客氣,1,,與他人的關係
對不起,1,/VS,與他人的關係
沒關係,1,VS,與他人的關係
再見,1,VA,與他人的關係
